STARTED,ID,german,blob,order_1,order_2,VR06,VR17,VR02_01,VR02_02,VR02_03,VR02_04,VR02_05,VR02_06,VR02_06a,VR02_07,VR13_01,VR13_02,VR13_03,VR13_04,VR13_05,VR13_06,VR13_06a,VR13_07,VR03_01,VR03_02,VR03_03,VR03_06,VR14_01,VR14_02,VR14_03,VR14_06,VR05_01,VR05_02,VR05_03,VR05_06,VR05_07,VR05_08,VR05_08a,VR05_09,VR16_01,VR16_02,VR16_03,VR16_06,VR16_07,VR16_08,VR16_08a,VR16_09,SSQ_N_FP,SSQ_O_FP,SSQ_D_FP,SSQ_TS_FP,SSQ_N_H,SSQ_O_H,SSQ_D_H,SSQ_TS_H,SSQ_N_AVG,SSQ_O_AVG,SSQ_D_AVG,SSQ_TS_AVG,P_FP,P_H,P_AVG,EB_EL_FP,EB_PA_FP,EB_EL_H,EB_PA_H,EB_SP_FP,EB_SP_H,EB_SP_AVG,EB_SL_FP,EB_A_FP,EB_O_FP,EB_SL_H,EB_A_H,EB_O_H,EB_EB_FP,EB_EB_H,EB_EB_AVG,H_0_MS,H_1_MS,H_2_MS,H_3_MS,H_4_MS,H_AVG_MS,FP_0_MS,FP_1_MS,FP_2_MS,FP_3_MS,FP_4_MS,FP_AVG_MS
2021-11-23 08:08:10,001,1,1,01234,03124,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,0.0,0.0,35.6796,9.54,0.0,0.0,35.6796,9.54,0.0,0.0,35.6796,127.0,130.0,128.5,16.0,16.0,15.0,14.0,32.0,29.0,30.5,6.0,10.0,13.0,5.0,11.0,11.0,29.0,27.0,28.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-23 10:19:44,002,1,0,01243,03142,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,0.0,22.740000000000002,13.92,137.10840000000002,0.0,15.16,0.0,56.69840000000001,0.0,18.950000000000003,6.96,96.9034,118.0,119.0,118.5,18.0,14.0,17.0,17.0,32.0,34.0,33.0,6.0,13.0,15.0,8.0,16.0,14.0,34.0,38.0,36.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-23 13:27:18,003,1,1,01324,03214,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,7.58,0.0,28.349200000000003,0.0,7.58,0.0,28.349200000000003,0.0,7.58,0.0,28.349200000000003,101.0,93.0,97.0,16.0,9.0,8.0,8.0,25.0,16.0,20.5,6.0,8.0,10.0,6.0,7.0,8.0,24.0,21.0,22.5,0,0,0,0,0,0.0,1,1,0,1,0,0.6
2021-11-24 09:04:25,004,1,0,01342,03241,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,28.619999999999997,7.58,27.84,239.50959999999998,19.08,7.58,27.84,203.83,23.849999999999998,7.58,27.84,221.6698,109.0,93.0,101.0,15.0,15.0,13.0,10.0,30.0,23.0,26.5,5.0,15.0,10.0,5.0,8.0,8.0,30.0,21.0,25.5,2,3,3,3,4,3.0,0,3,0,2,2,1.4
2021-11-24 11:47:42,005,0,1,01423,03412,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,9.54,7.58,0.0,64.02879999999999,9.54,7.58,0.0,64.02879999999999,9.54,7.58,0.0,64.02879999999999,141.0,130.0,135.5,15.0,16.0,17.0,15.0,31.0,32.0,31.5,2.0,9.0,5.0,2.0,6.0,10.0,16.0,18.0,17.0,0,0,0,0,0,0.0,0,0,0,1,0,0.2
2021-11-25 09:18:37,006,1,0,01432,03421,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,7.58,0.0,28.349200000000003,0.0,0.0,0.0,0.0,0.0,3.79,0.0,14.174600000000002,118.0,121.0,119.5,15.0,15.0,13.0,14.0,30.0,27.0,28.5,8.0,15.0,12.0,8.0,13.0,13.0,35.0,34.0,34.5,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-25 11:32:52,007,1,1,02134,04123,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,League of Legends,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,19.08,22.740000000000002,83.52,468.77160000000003,19.08,30.32,69.6,445.06,19.08,26.53,76.56,456.9158,99.0,104.0,101.5,13.0,12.0,11.0,12.0,25.0,23.0,24.0,3.0,14.0,10.0,8.0,18.0,12.0,27.0,38.0,32.5,0,1,0,2,3,1.2,0,3,0,2,3,1.6
2021-11-25 14:10:36,008,1,0,02143,04132,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,47.699999999999996,45.480000000000004,69.6,608.7972000000001,28.619999999999997,30.32,55.68,428.6788,38.16,37.900000000000006,62.64,518.738,106.0,110.0,108.0,16.0,11.0,16.0,10.0,27.0,26.0,26.5,5.0,14.0,11.0,7.0,8.0,9.0,30.0,24.0,27.0,0,0,0,1,0,0.2,0,0,1,3,0,0.8
2021-11-26 11:52:58,009,1,1,02314,04213,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,19.08,45.480000000000004,27.84,345.576,0.0,53.06,55.68,406.68760000000003,9.54,49.27,41.76,376.1318,142.0,129.0,135.5,12.0,12.0,17.0,15.0,24.0,32.0,28.0,5.0,15.0,10.0,5.0,11.0,12.0,30.0,28.0,29.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-26 14:04:34,010,1,0,02341,04231,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,RTS,1.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,9.54,7.58,55.68,272.272,0.0,15.16,13.92,108.75919999999999,4.77,11.370000000000001,34.8,190.5156,95.0,100.0,97.5,13.0,9.0,5.0,9.0,22.0,14.0,18.0,6.0,10.0,8.0,6.0,10.0,6.0,24.0,22.0,23.0,0,0,0,0,3,0.6,0,3,1,3,3,2.0
2021-11-29 08:59:04,011,1,1,02413,04312,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,2.0,1.0,,,,,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,76.32,37.9,55.68,635.426,124.01999999999998,53.06,69.6,922.5831999999999,100.16999999999999,45.480000000000004,62.64,779.0046,123.0,116.0,119.5,16.0,17.0,11.0,16.0,33.0,27.0,30.0,5.0,13.0,12.0,9.0,12.0,10.0,30.0,31.0,30.5,1,3,3,4,4,3.0,1,1,1,1,6,2.0
2021-11-29 11:34:20,012,1,0,02431,04321,2.0,,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,28.619999999999997,30.32,13.92,272.4964,28.619999999999997,22.740000000000002,27.84,296.208,28.619999999999997,26.53,20.88,284.35220000000004,113.0,111.0,112.0,16.0,14.0,14.0,16.0,30.0,30.0,30.0,8.0,15.0,11.0,6.0,10.0,13.0,34.0,29.0,31.5,0,2,0,0,0,0.4,0,1,0,1,0,0.4
2021-11-29 13:43:31,013,1,1,01234,03124,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,"Rhytm Games (osu!), Platformer (Mario)",1.0,,,,,,,,,2.0,2.0,2.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,150.0,154.5,20.0,17.0,20.0,13.0,37.0,33.0,35.0,6.0,18.0,14.0,7.0,13.0,10.0,38.0,30.0,34.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0
2021-11-30 08:16:06,014,1,0,01243,03142,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,9.54,22.740000000000002,41.76,276.9096,0.0,22.740000000000002,27.84,189.16920000000002,4.77,22.740000000000002,34.8,233.0394,91.0,119.0,105.0,11.0,11.0,16.0,14.0,22.0,30.0,26.0,7.0,10.0,10.0,6.0,10.0,13.0,27.0,29.0,28.0,0,0,0,1,0,0.2,0,1,0,1,1,0.6
2021-11-30 10:34:10,015,1,1,01324,03214,2.0,,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,2.0,2.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,19.08,22.740000000000002,41.76,312.5892,28.619999999999997,37.9,41.76,404.96720000000005,23.849999999999998,30.32,41.76,358.7782,139.0,148.0,143.5,12.0,13.0,12.0,17.0,25.0,29.0,27.0,3.0,8.0,11.0,7.0,15.0,12.0,22.0,34.0,28.0,0,1,1,1,1,0.8,1,1,0,0,2,0.8
